Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E
ELGIEQUIP.NS,8,C FAIR,7,6,19.3%,44.1,0.24
FLUOROCHEM.NS,8,C FAIR,4,5,7.3%,66.2,0.29
CUB.NS,8,C FAIR,4,2,12.6%,14.1,0.50
DIVISLAB.NS,8,C FAIR,6,5,15.3%,69.8,0.00
CHAMBLFERT.NS,8,C FAIR,5,3,18.8%,9.2,0.10
COLPAL.NS,8,C FAIR,6,5,83.7%,41.1,0.03
DCMSHRIRAM.NS,8,C FAIR,5,7,11.0%,18.6,0.38
ELECON.NS,8,C FAIR,4,3,14.8%,35.0,0.12
EMCURE.NS,8,C FAIR,7,5,18.6%,36.5,0.31
ENDURANCE.NS,8,C FAIR,6,4,13.9%,37.2,0.19
DATAPATTNS.NS,8,C FAIR,6,8,15.6%,89.4,0.00
CONCOR.NS,8,C FAIR,4,5,9.5%,27.3,0.07
LALPATHLAB.NS,8,C FAIR,5,7,22.9%,49.1,0.07
KPIL.NS,8,C FAIR,6,8,13.5%,20.9,0.46
SUMICHEM.NS,8,C FAIR,6,5,16.0%,42.3,0.02
TATAINVEST.NS,8,C FAIR,4,5,1.5%,76.7,0.00
SCI.NS,8,C FAIR,4,6,0.4%,10.1,0.29
SHYAMMETL.NS,8,C FAIR,5,4,8.7%,25.6,0.08
ZFCVINDIA.NS,8,C FAIR,6,6,14.0%,52.4,0.01
ZYDUSWELL.NS,8,C FAIR,6,6,3.4%,83.9,0.55
CGPOWER.NS,8,C FAIR,6,4,14.7%,119.5,0.01
ANANTRAJ.NS,8,C FAIR,3,3,9.5%,34.3,0.12
ABB.NS,8,C FAIR,7,4,19.8%,95.8,0.01
AAVAS.NS,8,C FAIR,3,4,13.0%,15.3,3.11
AFFLE.NS,8,C FAIR,5,5,12.5%,45.5,0.00
CEMPRO.NS,8,C FAIR,7,7,24.9%,33.6,0.42
BERGEPAINT.NS,8,C FAIR,7,6,16.3%,51.8,0.09
BEL.NS,8,C FAIR,5,8,25.3%,49.5,0.00
BAYERCROP.NS,8,C FAIR,6,7,23.2%,27.9,0.03
360ONE.NS,8,C FAIR,3,2,12.4%,36.3,1.61
MOTILALOFS.NS,8,C FAIR,6,6,16.8%,25.9,1.32
MUTHOOTFIN.NS,8,C FAIR,4,3,26.6%,11.2,3.80
JSWDULUX.NS,8,C FAIR,5,6,80.5%,7.2,0.03
PAGEIND.NS,8,C FAIR,5,7,50.8%,56.5,0.18
JSWINFRA.NS,8,C FAIR,4,4,13.0%,37.8,0.59
ZEEL.NS,7,C FAIR,4,5,2.3%,38.0,0.02
WOCKPHARMA.NS,7,C FAIR,6,8,4.0%,145.4,0.42
TIMKEN.NS,7,C FAIR,5,6,14.2%,65.0,0.00
TORNTPHARM.NS,7,C FAIR,5,4,12.3%,69.7,0.85
RAILTEL.NS,7,C FAIR,6,7,17.3%,31.1,0.02
PVRINOX.NS,7,C FAIR,4,9,2.4%,53.8,0.92
NETWEB.NS,7,C FAIR,7,2,28.5%,118.7,0.39
OLECTRA.NS,7,C FAIR,6,5,0.3%,59.0,0.31
RADICO.NS,7,C FAIR,6,8,15.6%,77.6,0.24
POLYCAB.NS,7,C FAIR,7,4,22.0%,54.6,0.37
SYRMA.NS,7,C FAIR,6,6,10.4%,73.6,0.13
NBCC.NS,7,C FAIR,5,6,22.4%,39.0,0.00
NLCINDIA.NS,7,C FAIR,3,7,13.9%,12.7,1.10
VTL.NS,7,C FAIR,4,4,7.0%,23.8,0.18
WELSPUNLIV.NS,7,C FAIR,5,5,4.1%,67.5,0.47
ZENTEC.NS,7,C FAIR,4,6,9.9%,82.9,0.01
TRENT.NS,7,C FAIR,6,6,24.2%,86.7,0.36
TEGA.NS,7,C FAIR,5,6,4.2%,86.8,0.12
NYKAA.NS,7,C FAIR,6,7,13.3%,378.4,0.82
NUVOCO.NS,7,C FAIR,4,7,3.5%,30.5,0.48
POLICYBZR.NS,7,C FAIR,5,6,9.2%,103.2,0.05
LT.NS,7,C FAIR,5,4,13.9%,33.4,0.98
JBCHEPHARM.NS,7,C FAIR,5,5,17.1%,49.4,0.00
JUBLPHARMA.NS,7,C FAIR,4,5,5.6%,38.2,0.51
KAJARIACER.NS,7,C FAIR,6,4,17.4%,42.3,0.10
JUBLINGREA.NS,7,C FAIR,5,6,8.9%,35.7,0.25
JINDALSAW.NS,7,C FAIR,4,5,7.9%,15.7,0.38
INDGN.NS,7,C FAIR,4,3,12.8%,31.3,0.05
GMDCLTD.NS,7,C FAIR,4,5,13.5%,20.6,0.04
NH.NS,7,C FAIR,7,6,17.8%,48.4,1.29
KPRMILL.NS,7,C FAIR,5,6,14.8%,40.7,0.10
CPPLUS.NS,7,C FAIR,7,6,19.6%,109.0,0.10
HSCL.NS,7,C FAIR,5,3,15.8%,44.1,0.16
GALLANTT.NS,7,C FAIR,5,5,14.4%,31.5,0.17
FINCABLES.NS,7,C FAIR,5,5,11.7%,22.0,0.00
HINDUNILVR.NS,7,C FAIR,5,7,21.7%,46.9,0.03
INDHOTEL.NS,7,C FAIR,4,7,14.0%,45.1,0.19
BOSCHLTD.NS,7,C FAIR,6,7,18.7%,40.0,0.01
APTUS.NS,7,C FAIR,4,4,18.6%,13.2,1.56
CESC.NS,7,C FAIR,3,5,11.7%,14.8,1.64
BDL.NS,7,C FAIR,5,5,9.9%,103.7,0.00
AARTIIND.NS,7,C FAIR,3,4,7.0%,37.6,0.83
BIKAJI.NS,7,C FAIR,6,5,15.1%,63.0,0.18
LTF.NS,7,C FAIR,3,1,10.6%,22.2,3.93
MAXHEALTH.NS,7,C FAIR,4,6,13.4%,68.0,0.32
BEML.NS,6,C FAIR,5,3,8.5%,103.9,0.11
APOLLOHOSP.NS,6,C FAIR,6,7,19.5%,62.2,0.85
ATGL.NS,6,C FAIR,4,4,13.5%,124.9,0.59
ACMESOLAR.NS,6,C FAIR,2,4,9.9%,43.4,3.93
JSL.NS,6,C FAIR,6,6,16.1%,17.3,0.38
MGL.NS,6,C FAIR,3,5,13.1%,12.3,0.03
NTPCGREEN.NS,6,C FAIR,2,4,2.7%,161.0,1.65
KEI.NS,6,C FAIR,5,4,13.8%,54.6,0.04
GRAPHITE.NS,6,C FAIR,4,4,3.0%,74.7,0.06
HUDCO.NS,6,C FAIR,3,3,18.4%,10.2,6.45
ACE.NS,6,C FAIR,5,6,20.6%,25.7,0.00
EXIDEIND.NS,6,C FAIR,4,7,6.1%,39.0,0.11
INDIACEM.NS,6,C FAIR,5,4,-0.7%,N/A,0.13
HONAUT.NS,6,C FAIR,5,5,11.8%,59.1,0.02
WELCORP.NS,6,C FAIR,5,4,17.1%,22.7,0.25
TATATECH.NS,6,C FAIR,6,3,13.9%,55.7,0.24
TATAPOWER.NS,6,C FAIR,2,6,7.9%,34.1,1.68
SCHNEIDER.NS,6,C FAIR,5,6,27.4%,128.9,0.71
PPLPHARMA.NS,6,C FAIR,5,2,-4.0%,N/A,0.70
TECHNOE.NS,6,C FAIR,4,3,10.8%,26.2,0.02
SAILIFE.NS,6,C FAIR,3,7,14.0%,73.1,0.12
NESTLEIND.NS,6,C FAIR,3,0,N/A,77.3,N/A
KARURVYSYA.NS,6,C FAIR,3,3,17.8%,10.9,0.19
RKFORGE.NS,6,C FAIR,5,4,2.2%,136.2,0.74
LAURUSLABS.NS,5,D WEAK,5,5,19.3%,87.3,0.60
JKCEMENT.NS,5,D WEAK,3,8,14.0%,37.4,0.87
SIEMENS.NS,5,D WEAK,4,7,11.3%,75.7,0.01
RELIANCE.NS,5,D WEAK,4,6,7.4%,21.2,0.37
STARHEALTH.NS,5,D WEAK,2,2,7.4%,54.9,0.06
TIINDIA.NS,5,D WEAK,4,6,4.2%,96.3,0.05
CARBORUNIV.NS,5,D WEAK,4,3,4.9%,101.9,0.10
BAJFINANCE.NS,5,D WEAK,3,1,16.3%,28.9,3.13
GICRE.NS,5,D WEAK,1,4,13.7%,7.0,N/A
DEEPAKFERT.NS,5,D WEAK,3,4,9.9%,25.2,0.76
GRSE.NS,5,D WEAK,6,7,36.0%,43.6,0.00
BLUEDART.NS,5,D WEAK,5,6,13.9%,44.9,0.64
APARINDS.NS,5,D WEAK,6,5,21.7%,56.5,0.13
ADANIENSOL.NS,5,D WEAK,3,5,8.6%,85.1,1.85
CRAFTSMAN.NS,5,D WEAK,5,6,11.8%,55.5,1.11
DEEPAKNTR.NS,5,D WEAK,4,3,9.4%,40.9,0.28
NUVAMA.NS,5,D WEAK,3,2,25.2%,27.8,2.80
GABRIEL.NS,5,D WEAK,6,6,18.1%,57.9,0.11
GAIL.NS,5,D WEAK,3,4,8.5%,14.5,0.28
IIFL.NS,5,D WEAK,1,3,10.6%,12.9,4.46
GRAVITA.NS,5,D WEAK,4,3,15.4%,30.4,0.30
HFCL.NS,5,D WEAK,4,5,6.3%,84.6,0.38
NIACL.NS,5,D WEAK,1,4,4.1%,17.5,N/A
NCC.NS,5,D WEAK,3,4,8.4%,13.5,0.43
ONESOURCE.NS,5,D WEAK,3,3,-1.3%,N/A,0.26
PCBL.NS,5,D WEAK,4,5,4.9%,55.1,1.24
PNBHOUSING.NS,5,D WEAK,2,2,11.9%,11.2,2.77
TATACHEM.NS,4,D WEAK,4,3,-8.6%,N/A,0.36
MRPL.NS,4,D WEAK,3,7,13.6%,14.1,1.08
SAMMAANCAP.NS,4,D WEAK,2,0,-37.6%,N/A,2.52
DIXON.NS,4,D WEAK,4,7,26.7%,42.9,0.18
BALRAMCHIN.NS,4,D WEAK,3,3,9.1%,28.8,0.77
ABDL.NS,4,D WEAK,4,5,13.5%,70.8,0.68
LICHSGFIN.NS,4,D WEAK,1,4,13.5%,5.4,6.43
MANAPPURAM.NS,4,D WEAK,1,1,6.2%,25.9,3.60
KIMS.NS,4,D WEAK,2,4,9.4%,132.7,1.66
JMFINANCIL.NS,4,D WEAK,2,5,10.6%,9.5,1.02
RECLTD.NS,4,D WEAK,2,4,19.2%,5.6,6.05
THERMAX.NS,4,D WEAK,3,4,12.9%,74.4,0.42
TITAGARH.NS,4,D WEAK,3,6,5.0%,93.1,0.25
TATACOMM.NS,4,D WEAK,3,6,28.6%,53.9,3.35
TORNTPOWER.NS,4,D WEAK,2,5,12.3%,30.1,0.71
TMPV.NS,4,D WEAK,3,2,-1.4%,N/A,0.67
ADANIENT.NS,3,D WEAK,4,4,10.4%,40.3,1.20
ATHERENERG.NS,3,D WEAK,4,6,-20.1%,N/A,0.26
COCHINSHIP.NS,3,D WEAK,4,3,12.2%,51.9,0.28
AMBER.NS,3,D WEAK,4,6,3.1%,153.1,0.47
CROMPTON.NS,3,D WEAK,4,5,-7.0%,N/A,0.06
DMART.NS,3,D WEAK,3,4,12.1%,90.1,0.10
FACT.NS,3,D WEAK,3,4,13.3%,N/A,2.95
MFSL.NS,3,D WEAK,2,3,1.3%,661.1,0.29
ITI.NS,2,F POOR,3,5,-7.7%,97.3,0.40
JBMA.NS,2,F POOR,2,3,13.7%,71.3,1.98
TEJASNET.NS,1,F POOR,3,3,-31.0%,N/A,1.43
