Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
GLAXO,★,52.8,Armed Wait · Recovery,2/4 · no PA,STRONG BULL (+13) · S2 — Spring/LPS Reversal,CLEAN (0),✓ ABOVE VAH,Recovery-Early,,,Recovery,—,5,10.0,74.0,40.0,4.4,1,61.4,4/8,None,—,0,,6/6 FULL,3/9,D WEAK ⚠,Healthcare,2601.5,2632.6,-1.2,-18.6,49.1,59K,2622.0,2538.2,3.2,3127.2,6.0,LEADING,Rigorous,Rec Early,
JUBLINGREA,★,52.3,Armed Wait · Bull,2/4 · no PA,BULL (+5) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,,Bull,—,5,8.5,67.5,30.0,3.8,1,60.2,7/8,None,—,0,OK 2/5,,6/9,D WEAK ⚠,Basic Materials,733.2,726.4,0.9,-13.2,34.0,2.3L,734.0,706.9,3.7,857.8,4.6,WEAKENING,Rigorous,Pullback,
SOLARINDS,,50.7,Wait for Pullback · Bull,1/4 · no PA,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✗ IN VA (lower),Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,4,8.5,66.0,0.0,2.8,2,74.2,7/8,SWG-PB,—,0,STRONG 5/5,,5/9,B GOOD ⚠,Basic Materials,18002.0,18244.0,-1.3,-6.1,133.0,72K,18026.0,16857.7,6.5,19581.6,1.3,WEAKENING,Discovery,Bull Catalyst,
CRISIL,★,50.4,Buy Trigger Live · Recovery,2/4 · no vol,BULL (+5) · NONE,CLEAN (0),✗ IN VA (lower),Recovery-Early,,,Recovery,—,5,10.0,74.0,40.0,1.8,1,60.5,3/8,None,—,1,,6/6 FULL,3/9,D WEAK ⚠,Financial Services,4414.9,4489.9,-1.7,-24.6,56.5,50K,4440.0,4376.6,1.4,5385.7,14.9,LEADING,Rigorous,Rec Early,
3MINDIA,★,49.9,Invalidated · Bull,2/4 · no PA,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,below EMA20 / below value,Bull,—,1,8.5,58.5,30.0,4.7,3,61.4,6/8,None,—,0,OK 3/5,,4/9,D WEAK ⚠,Industrials,34890.0,35090.0,-0.6,-6.8,72.6,2K,35425.0,33565.9,5.2,39335.9,2.1,LEADING,Rigorous,Pullback,
ZYDUSLIFE,,49.8,Wait for Pullback · Bull,2/4 · no PA,BULL (+6) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,4,6.5,67.0,15.0,5.0,2,56.6,8/8,SWG-REV,—,0,OK 2/5,,3/9,C FAIR ⚠,Healthcare,1121.9,1099.2,2.1,-5.0,30.3,10.9L,1122.0,1084.1,3.4,1196.4,2.0,LEADING,Discovery,Bull Catalyst,
TATATECH,,48.7,Armed Wait · Bull,1/4 · no PA,NEUTRAL (+0) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,,Bull,—,5,6.0,57.5,30.0,2.6,2,66.6,7/8,None,—,0,OK 2/5,,4/9,D WEAK ⚠,Technology,760.5,738.6,3.0,-5.2,48.2,5.6L,743.4,720.6,3.1,862.0,5.2,LEADING,Rigorous,Pullback,
SUMICHEM,,44.5,Invalidated · Recovery,2/4 · no PA,NEUTRAL (+0) · NONE,CLEAN (0),✓ IN VA (upper),Rec-Catalyst-Scan,,below EMA20 (turn unconfirmed),Recovery,—,1,10.0,79.5,15.0,6.9,3,62.6,6/8,None,—,0,,4/6 PART,2/9,D WEAK ⚠,Basic Materials,501.4,528.4,-5.1,-24.6,43.7,9.7L,501.4,459.0,8.5,656.7,3.7,LEADING,Discovery,Recovery Catalyst,
KPIL,,42.5,Wait for Pullback · Bull,2/4 · no PA,NEUTRAL (-2) · NONE,CLEAN (0),✗ IN VA (lower),Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,4,7.5,35.0,10.0,-0.2,2,60.5,4/8,SWG-REV,—,0,STRONG 4/5,,5/9,C FAIR ⚠,Industrials,1286.6,1265.5,1.7,-11.6,20.6,1.1L,1308.0,1227.7,6.1,1424.2,1.4,LAGGING,Discovery,Bull Catalyst,
KPRMILL,,40.1,Wait for Pullback · Bull,1/4 · no PA,NEUTRAL (+0) · NONE,CLEAN (0),✗ IN VA (lower),Catalyst-Scan,,below EMA20 / below value,Bull,—,4,5.0,60.0,0.0,4.2,2,61.3,6/8,SWG-REV,—,0,OK 2/5,,3/9,D WEAK ⚠,Consumer Cyclical,1050.2,1043.3,0.7,-20.3,61.4,1.2L,1063.0,1009.1,5.1,1191.2,2.4,LEADING,Discovery,Bull Catalyst,
HINDCOPPER,,40.1,Invalidated · Bull,1/4 · no PA,CAUTION (-6) · NONE,CLEAN (0),✗ IN VA (lower),Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,1,8.5,30.0,0.0,-7.8,2,59.6,3/8,SWG-REV,—,0,STRONG 5/5,,6/9,B GOOD ⚠,Basic Materials,479.9,473.1,1.4,-36.2,46.7,23.6L,485.2,452.1,6.8,524.8,1.2,LAGGING,Discovery,Bull Catalyst,
INDIANB,,36.0,Invalidated · Bull,2/4 · no PA,BULL (+4) · S1 — OB Retest + VP Support,CLEAN (0),✗ IN VA (lower),Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,1,6.5,23.0,0.0,-2.9,3,69.3,4/8,SWG-PB,—,0,OK 2/5,,4/9,D WEAK ⚠,Financial Services,829.3,834.2,-0.6,-17.4,9.0,7.7L,826.5,761.6,7.9,893.9,1.0,LAGGING,Discovery,Bull Catalyst,
TITAGARH,,36.0,Wait for Pullback · Bull,2/4 · no PA,NEUTRAL (-1) · NONE,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,4,5.5,45.0,0.0,-0.0,2,68.8,4/8,SWG-REV,—,0,OK 2/5,,4/9,D WEAK ⚠,Industrials,831.2,810.4,2.6,-14.0,55.1,4.3L,835.5,767.7,8.1,916.9,1.2,LAGGING,Discovery,Bull Catalyst,
NATIONALUM,,32.5,Invalidated · Bull,1/4 · no PA,CAUTION (-4) · NONE,CLEAN (0),✗ BELOW VAL,Catalyst-Scan,,thin R:R / below EMA20 / below value,Bull,—,1,6.0,43.0,0.0,-10.8,2,61.7,4/8,SWG-REV,—,0,OK 2/5,,4/9,D WEAK ⚠,Basic Materials,344.9,334.6,3.1,-22.3,10.9,54.2L,346.0,318.9,7.8,378.5,1.2,LAGGING,Discovery,Bull Catalyst,
