Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
USHAMART,,45.6,Wait for Pullback · Bull,4/5 · no vol · PA 1b · PB · ↑W · RRG·,NEUTRAL (+2) · NONE,CLEAN (1),✗ IN VA (lower),Pullback,,False,,REACTING off pattern M · below EMA20 / below value,0.0,Bull,—,4,8.0,56.0,20.0,4.5,2,63.7,7/8,None,—,0,STRONG 4/5,,5/7,C FAIR,Basic Materials,498.0,500.3,-0.5,-5.6,36.4,57%,499.9,492.1,1.6,542.1,0.7,0.68R · S/R·D,WEAKENING,Discovery,At Value,
CASTROLIND,★,44.8,Armed Wait · Recovery,4/5 · weak bar · PA 1b · ↑M · ⚠unval · RRG·,NEUTRAL (+1) · NONE,CLEAN (0),✓ IN VA (upper),Recovery-Early,,False,,AT pattern 125m,0.0,Recovery,—,5,10.0,78.5,50.0,-1.5,2,51.0,4/8,None,—,0,,6/6 FULL,5/7,C FAIR,Energy,189.0,189.0,-0.0,-10.1,17.4,74%,189.5,185.1,2.3,206.0,0.3,0.33R · lastPH,LAGGING,Rigorous,Rec Early,
GLAXO,,43.8,ADD ready · Bull,⛔ funda,NEUTRAL (+2) · NONE,CLEAN (1),✗ IN VA (lower),Pyramid,"29 @ 2629.2 = ₹84,674 · SL→2697.8 · add 29 (capped ≤100% of 29)",False,,AT pivot+conf · below value,7.7,Bull,—,2,6.0,48.0,30.0,5.7,2,50.0,8/8,None,—,0,OK 2/5,,4/7,C FAIR,Healthcare,2919.8,2957.8,-1.3,-6.2,46.2,45%,2928.2,2851.2,2.6,3185.6,0.9,0.88R · Pv·D  (1.90R to S/R·D),LEADING,Rigorous,Portfolio,
CLEAN,,43.5,Buy Trigger Live · Recovery,⛔ Stage 3 · gates 3/5 · ↑M · ⚠unval,NEUTRAL (+3) · NONE,CLEAN (0),✓ IN VA (upper),Rec-Catalyst-Scan,,False,,REACTING off pivot,2.4,Recovery,—,5,10.0,84.1,50.0,-0.5,3,47.5,2/8,None,—,1,,6/6 FULL,5/7,C FAIR,Basic Materials,826.5,844.4,-2.1,-31.8,35.4,50%,830.2,810.3,2.4,935.8,0.4,0.43R · S/R·D,IMPROVING,Discovery,Recovery Catalyst,
GABRIEL,,42.6,Wait for Pullback · Bull,4/5 · weak bar · PA 1b · PB · RRG·,NEUTRAL (+3) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,False,,AT pattern D · below EMA20 / below value,0.0,Bull,—,4,6.5,53.5,25.0,18.7,2,59.6,7/8,None,—,0,STRONG 4/5,,3/7,C FAIR,Consumer Cyclical,1360.0,1363.5,-0.3,-13.2,86.4,42%,1389.6,1316.8,5.2,1563.7,0.4,0.43R · SZ·D,LEADING,Discovery,At Value,
SMALLCAP,,41.2,Wait for Pullback · Bull,2/5 · no loc · F? · PA 3b · RRG·,BULL (+4) · NONE,CLEAN (0),✓ ABOVE VAH,ETF,,False,,−9.4% → pattern D · thin R:R / below value,9.4,Bull,—,4,5.0,41.0,50.0,4.3,2,56.7,8/8,None,—,0,ETF  ·  ₹7.6Cr  ·  NAV -0.4%,,,,,49.3,49.5,-0.3,-9.5,,75%,49.3,47.5,3.6,51.5,0.0,0.02R · S/R·W,WEAKENING,Rigorous,ETF,
ALPHA,,41.0,Wait for Pullback · Bull,2/5 · no PA · F? · ↑D · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),ETF,,False,,REACTING off pivot · thin R:R,8.2,Bull,—,4,5.0,42.5,30.0,3.2,2,60.3,7/8,SWG-PB,—,0,ETF  ·  ₹4.6Cr  ·  NAV +0.0%,,,,,54.3,54.1,0.3,-2.4,,48%,54.3,52.8,2.7,56.8,0.0,0.02R · SZ·W,WEAKENING,Rigorous,ETF,
ASTRAL,,40.2,Invalidated · Bull,3/5 · no PA · ↑M,NEUTRAL (-3) · NONE,CLEAN (1),✗ IN VA (lower),Catalyst-Scan,,False,,REACTING off pivot · thin R:R / below EMA20 / below value,,Bull,—,1,6.5,3.0,15.0,-6.7,1,48.2,4/8,SWG-PB,—,0,STRONG 4/5,,5/7,D WEAK,Industrials,1465.6,1498.2,-2.2,-15.1,59.8,59%,1500.8,1451.4,3.3,1566.8,0.3,0.27R · S/R·D,LAGGING,Discovery,Bull Catalyst,
MOCAPITAL,,40.0,Wait for Pullback · Bull,4/5 · no vol · F? · PA 3b · ↑W · RRG·,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✗ IN VA (lower),ETF,,False,,REACTING off pivot · thin R:R / below EMA20 / below value,8.0,Bull,—,4,5.0,43.5,15.0,1.8,2,63.3,8/8,SWG-PB,—,0,ETF  ·  ₹4.8Cr  ·  NAV -0.9%,,,,,54.1,54.5,-0.8,-5.5,,64%,54.1,52.7,2.6,56.2,0.8,0.75R · SZ·D,WEAKENING,Rigorous,ETF,
METALIETF,,39.2,Armed Wait · Bull,4/5 · no vol · F? · PA 1b · ↑W · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot,,Bull,—,5,5.0,42.5,30.0,0.0,2,66.7,8/8,None,—,0,ETF  ·  ₹9.5Cr  ·  NAV +1.7% ·,,,,,13.5,13.2,1.7,-4.9,,58%,13.5,13.0,3.4,14.8,0.2,0.24R · lastPH,WEAKENING,Rigorous,ETF,
