Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth
R R Kabel,543981,RRKABEL,INE777K01022,Industrial Products,Cables - Electricals,2450.80,607.61,295.29,10.49,0.13,1.62,12.39,27719.90,53.90,117.32
Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1652.40,62.69,37.00,118.00,0.02,4.28,20.64,7588.14,48.72,67.55
Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies,Trading & Distributors,399.85,1504.66,231.35,7.05,0.28,1.41,4.51,31259.25,34.57,76.55
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1751.10,288.22,205.05,10.09,0.24,2.01,13.06,28986.29,51.59,95.80
Sedemac Mechatro,544723,SEDEMAC,INE00XB01019,Auto Components,Auto Components & Equipments,3147.80,103.58,128.02,18.41,0.16,1.38,15.53,13903.99,42.51,95.14
Seshaasai Tech.,544533,STYL,INE04VU01023,Financial Technology (Fintech),Financial Technology (Fintech),360.35,268.80,225.19,25.18,0.06,5.89,17.22,5830.67,21.02,68.35
Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3149.80,177.82,216.35,16.40,0.27,1.11,16.62,14487.58,22.07,45.87
Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment,Heavy Electrical Equipment,3228.00,1488.00,3670.10,68.70,0.04,2.06,23.16,114955.70,39.28,67.83
SJS Enterprises,543387,SJS,INE284S01014,Auto Components,Auto Components & Equipments,2422.80,211.61,223.88,72.33,0.03,1.85,17.36,7813.42,24.49,57.47
Sky Gold & Diam.,541967,SKYGOLD,INE01IU01018,Consumer Durables,"Gems, Jewellery And Watches",783.70,343.15,-44.92,6.00,0.73,1.77,15.87,12137.47,77.93,136.94
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18555.00,2050.39,620.87,19.92,0.24,2.06,19.14,167904.30,70.26,92.66
Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,3039.60,50.00,70.79,5.06,0.89,1.36,8.19,5193.91,84.36,118.23
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",215.13,263.23,-325.85,180.76,0.07,6.08,13.63,10513.91,115.83,77.51
Stylam Industrie,526951,STYLAMIND,INE239C01020,Consumer Durables,Plywood Boards/ Laminates,3295.50,169.37,177.08,64.70,0.04,3.47,16.56,5585.23,15.37,70.38
Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,1155.00,183.61,69.55,30.98,0.17,3.09,18.43,13045.57,26.70,31.61
Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,442.90,4187.00,14981.00,14.08,0.44,0.59,7.98,163110.74,19.30,87.00
TBO Tek,544174,TBOTEK,INE673O01025,Leisure Services,"Tour, Travel Related Services",1710.60,264.70,-20.77,7.18,0.49,1.04,3.08,18575.03,81.07,47.12
TD Power Systems,533553,TDPOWERSYS,INE419M01035,Electrical Equipment,Heavy Electrical Equipment,763.75,274.99,129.07,225.94,0.02,1.95,14.74,23863.89,72.10,72.34
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1537.10,5163.00,6172.00,20.60,0.07,1.67,10.68,150656.36,17.68,28.45
Technocraf.Inds.,532804,TIIL,INE545H01011,Industrial Products,Iron & Steel Products,3054.10,348.49,243.48,8.82,0.41,2.00,9.55,6924.50,27.20,68.38
Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",714.20,85.79,90.99,23.82,0.95,1.81,26.89,7209.85,29.57,70.55
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1256.10,486.11,392.97,11.04,0.17,0.80,21.61,16544.11,20.58,38.10
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,2824.00,1814.70,2667.62,14.63,0.37,1.06,16.34,150584.80,17.84,20.79
Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,507.20,507.54,655.34,42.14,0.07,3.28,11.53,15456.50,16.44,40.67
Va Tech Wabag,533269,WABAG,INE956G01038,Other Utilities,Water Supply & Management,2132.60,394.20,206.70,8.36,0.09,1.71,6.56,13326.95,20.82,36.93
Varroc Engineer,541578,VARROC,INE665L01035,Auto Components,Auto Components & Equipments,861.55,200.11,536.80,4.24,0.52,0.86,5.42,13163.31,29.92,27.94
Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1558.90,187.49,270.59,7.84,0.44,0.76,11.58,16056.31,22.83,37.60
Wheels India,590073,WHEELS,INE715A01015,Auto Components,Auto Components & Equipments,2175.70,166.42,477.35,2.90,0.74,0.87,4.71,5315.89,17.82,28.21
