Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
NAVINFLUOR,Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8590.0,789.7,893.57,9.72,0.32,1.46,11.56,44079.25,44.07,107.67,,
NESTLEIND,Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1372.4,3860.49,5047.56,33.02,0.08,0.96,26.86,264641.86,25.16,48.61,,
NETWEB,Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4664.5,260.65,789.92,15.86,0.39,1.44,13.05,27729.31,172.13,179.92,,
NEULANDLAB,Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,22840.0,497.76,346.68,26.41,0.16,2.09,14.13,29303.47,119.16,962.37,,
NAM-INDIA,Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1155.0,1636.96,1466.02,313.05,0.02,1.54,31.01,73914.17,26.42,27.16,,
OFSS,Oracle Fin.Serv.,532466,OFSS,INE881D01027,IT - Software,Software Products,11896.0,3412.9,2638.3,629.45,0.0,5.44,26.47,103594.09,68.73,120.52,,
PNGJL,P N Gadgil Jewe.,544256,PNGJL,INE953R01016,Consumer Durables,"Gems, Jewellery And Watches",604.75,445.82,-716.9,6.66,0.89,1.53,10.17,8902.08,40.73,51.92,,
PARKHOSPS,Park Medi World,544645,PARKHOSPS,INE119201023,Healthcare Services,Hospital,282.05,296.75,329.09,8.1,0.18,2.06,11.11,12182.61,19.27,42.31,,
PGIL,Pearl Global Ind,532808,PGIL,INE940H01022,Textiles & Apparels,Garments & Apparels,1146.1,303.72,398.34,4.48,0.65,1.6,9.15,10587.8,24.46,50.93,,
PIDILITIND,Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1572.1,2676.1,2828.45,67.83,0.04,1.29,16.91,160020.87,21.27,28.18,,
POLYCAB,Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8400.0,2905.4,3810.67,15.24,0.02,1.41,14.91,126580.93,39.01,32.46,,
POWERMECH,Power Mech Proj.,539302,POWERMECH,INE211R01019,Construction,Civil Construction,2371.4,420.47,387.45,5.86,0.26,1.71,7.98,7497.49,25.53,51.9,,
POWERICA,Powerica Ltd,544744,POWERICA,INE921L01032,Electrical Equipment,Heavy Electrical Equipment,576.3,291.15,452.88,15.23,0.29,1.61,8.41,7293.18,26.66,28.14,,
PRECWIRE,Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",478.4,174.63,272.96,4.33,0.38,1.21,8.78,8745.53,59.49,71.47,,
PREMIERENE,Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,902.0,1673.82,1261.06,14.25,0.86,1.71,16.53,40946.43,35.25,50.45,,
PRIVISCL,Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3444.9,342.01,550.09,7.29,0.72,1.41,10.62,13456.71,19.22,35.98,,
PRUDENT,Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3501.6,245.04,216.54,58.24,0.04,1.25,20.49,14498.96,18.34,44.38,,
QPOWER,Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1536.1,195.2,80.28,34.27,0.07,2.48,19.31,11896.19,31.66,49.59,,
RRKABEL,R R Kabel,543981,RRKABEL,INE777K01022,Industrial Products,Cables - Electricals,2450.8,607.61,295.29,10.49,0.13,1.62,12.39,27719.9,53.9,117.32,,
RPEL,Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1652.4,62.69,37.0,118.0,0.02,4.28,20.64,7588.14,48.72,67.55,,
REDINGTON,Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies,Trading & Distributors,399.85,1504.66,231.35,7.05,0.28,1.41,4.51,31259.25,34.57,76.55,,
RUBICON,Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1751.1,288.22,205.05,10.09,0.24,2.01,13.06,28986.29,51.59,95.8,,
SEDEMAC,Sedemac Mechatro,544723,SEDEMAC,INE00XB01019,Auto Components,Auto Components & Equipments,3147.8,103.58,128.02,18.41,0.16,1.38,15.53,13903.99,42.51,95.14,,
STYL,Seshaasai Tech.,544533,STYL,INE04VU01023,Financial Technology (Fintech),Financial Technology (Fintech),360.35,268.8,225.19,25.18,0.06,5.89,17.22,5830.67,21.02,68.35,,
SHAILY,Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3149.8,177.82,216.35,16.4,0.27,1.11,16.62,14487.58,22.07,45.87,,
ENRIN,Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment,Heavy Electrical Equipment,3228.0,1488.0,3670.1,68.7,0.04,2.06,23.16,114955.7,39.28,67.83,,
SJS,SJS Enterprises,543387,SJS,INE284S01014,Auto Components,Auto Components & Equipments,2422.8,211.61,223.88,72.33,0.03,1.85,17.36,7813.42,24.49,57.47,,
SKYGOLD,Sky Gold & Diam.,541967,SKYGOLD,INE01IU01018,Consumer Durables,"Gems, Jewellery And Watches",783.7,343.15,-44.92,6.0,0.73,1.77,15.87,12137.47,77.93,136.94,,
SOLARINDS,Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18555.0,2050.39,620.87,19.92,0.24,2.06,19.14,167904.3,70.26,92.66,,
SPECTRUM,Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,3039.6,50.0,70.79,5.06,0.89,1.36,8.19,5193.91,84.36,118.23,,
LOTUSDEV,Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",215.13,263.23,-325.85,180.76,0.07,6.08,13.63,10513.91,115.83,77.51,,
SUDEEPPHRM,Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,1155.0,183.61,69.55,30.98,0.17,3.09,18.43,13045.57,26.7,31.61,,
