Symbol,Name,Asset_Class,Sub_Category,Underlying,Issuer,Liquidity_Tier,Structure_Source,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Stage,RRG_Quadrant,Rotation_Vector,LTP,SMA50,SMA200,MA200_Slope_pct,Above_SMA200,Mansfield_RS,RS_Momentum_4W,Vol_60D_Lakhs,Turnover_60D_Cr,Dist_52WH_pct,Signal
ENERGY,Mirae Asset Nifty Energy ETF,THEMATIC,THEMATIC.NIFTY ENERGY,Nifty Energy,Mirae,D,index:NIFTY ENERGY,4,3,5,2,14,C,1,LAGGING,LEADING,38.14,38.67,38542.96,0.74,False,1.06,0.48,2.91,1.14,-10.0,⚠ ILLIQUID
OILIETF,ICICI Pru Nifty Oil & Gas ETF,COMMODITY,COMMODITY.NIFTY OIL AND GAS,Nifty Oil and Gas,ICICI,C,index:NIFTY OIL AND GAS,4,0,2,6,12,D,4,IMPROVING,IGNITE,11.14,11.31,11240.39,-1.09,False,-3.69,0.84,13.43,1.53,-12.1,⚠ ILLIQUID
CPSEETF,CPSE ETF,THEMATIC,THEMATIC.NIFTY CPSE,Nifty CPSE,,B,index:NIFTYCPSE,8,0,2,2,12,D,4,LAGGING,IGNITE,92.58,94.31,6852.39,-0.83,False,-4.91,1.83,8.12,7.68,-15.64,🔴 AVOID-DOWNTREND
FMCGIETF,ICICI Pru Nifty FMCG ETF,SECTOR,SECTOR.NIFTY FMCG,Nifty FMCG,ICICI,B,index:NIFTY FMCG,8,0,2,2,12,D,4,LAGGING,IGNITE,49.28,51.4,48719.27,-1.46,False,-7.69,0.63,13.37,6.79,-19.99,🔴 AVOID-DOWNTREND
TOP100CASE,Zerodha Nifty 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY 100,Nifty 100,Zerodha,D,index:NIFTY 100,2,0,2,6,10,D,4,IMPROVING,IGNITE,10.3,10.58,24849.25,-0.63,False,-2.26,0.02,7.12,0.75,-9.46,⚠ ILLIQUID
LOWVOL1,Kotak Nifty 100 Low Volatility 30 ETF,SMART_BETA,SMART_BETA.NIFTY 100 LOW VOLATILITY 30,Nifty 100 Low Volatility 30,Kotak,D,index:NIFTY100 LOW VOLATILITY 30,4,0,0,5,9,D,4,IMPROVING,FALLING,20.37,21.18,19745.27,-0.51,False,-2.1,-0.67,5.04,1.05,-9.33,⚠ ILLIQUID
NV20IETF,ICICI Pru Nifty 50 Value 20 ETF,SMART_BETA,SMART_BETA.NIFTY50 VALUE 20 INDEX,Nifty50 Value 20 Index,ICICI,D,index:NIFTY50 VALUE 20,0,0,2,6,8,D,4,IMPROVING,IGNITE,13.2,13.62,12033.9,-1.53,False,-5.96,1.07,3.33,0.45,-14.34,⚠ ILLIQUID
HNGSNGBEES,Nippon Hang Seng ETF (HNGSNGBEES),INTERNATIONAL,INTERNATIONAL.HANG SENG,Hang Seng,Nippon,B,etf,6,0,0,1,7,D,4,LAGGING,FALLING,463.3,478.99,497.2,-2.03,False,-7.79,-0.18,0.9,4.34,-18.19,🔴 AVOID-DOWNTREND
MONIFTY500,Motilal Oswal Nifty 500 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY 500,Nifty 500,Motilal,C,index:NIFTY 500,4,2,0,1,7,D,1,LAGGING,COLLAPSED,23.45,23.87,22752.49,-0.07,False,-0.0,-0.0,4.91,1.15,-5.99,⚠ ILLIQUID
BFSI,Mirae Asset Nifty Financial Service ETF,SECTOR,SECTOR.FINNIFTY,Finnifty,Mirae,D,index:FINNIFTY,2,0,2,2,6,D,4,LAGGING,IGNITE,26.58,27.24,25969.63,-0.98,False,-2.99,0.77,2.47,0.67,-11.05,⚠ ILLIQUID
INFRAIETF,ICICI Pru Nifty Infrastructure ETF,THEMATIC,THEMATIC.NIFTY INFRA,NIFTY Infra,ICICI,D,index:NIFTYINFRA,4,0,0,1,5,D,4,LAGGING,FALLING,92.96,95.67,9247.05,-0.42,False,-2.22,-0.33,1.3,1.26,-8.16,⚠ ILLIQUID
CHEMICAL,Kotak Nifty Chemicals ETF,SECTOR,SECTOR.NIFTY CHEMICALS,Nifty Chemicals,Kotak,D,etf,4,0,0,0,4,D,0,n/a,n/a,29.43,30.25,,0.0,False,,,4.22,1.29,-5.16,⚠ ILLIQUID
COMMOIETF,ICICI Pru Nifty Commodities ETF,THEMATIC,THEMATIC.NIFTY COMMODITIES,Nifty Commodities,ICICI,D,index:NIFTY COMMODITIES,0,2,0,1,3,D,1,LAGGING,FALLING,97.5,99.83,9853.04,-0.07,False,-1.14,-0.08,0.46,0.46,-9.54,⚠ ILLIQUID
