Symbol,Edge_Hint,Signal,Signal_Label,Signal_Date,Score,RFF_Score,RFF_Base,RFF_Bonus,RFF_Total,RFF_Quality,RFF_Checks,Fund_Source,Chartink_Confirmed,RFF_Detail,Weinstein_Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,RS_Slope_4W,RS_Positive,Stretch_SMA200_pct,Correction_52W_pct,Rel_Vol,RSI14,RSI3,Regime_OK,Mkt_Recovery,Mkt_Corrected,Mkt_Reclaim,Mkt_Corr_Depth_pct,CB_Climax_Date,Entry,SL,T1,T2,RR_T1,T1_pct,SL_pct,Details,Conviction,Combined_Score
POLYMED,REV-RS,0,None,,9,5,5,1,6,FULL,101111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",2,9.37,-5.578,WEAKENING,-1.09,True,8.82,17.92,0.77,43.0,30.0,True,False,False,False,4.3,,1730.1,1648.4,1934.35,2107.8,2.5,11.81,4.72,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,9.2,66.5
UNIONBANK,REV-RS,0,None,,7,2,2,2,4,FULL,100010,Screener.in-pool+live+yf,False,"{'NI>0': True, 'CR>1': True, 'Profit↑': True, 'OpLev↑': True}",2,3.532,0.803,LEADING,-0.15,True,6.39,10.84,0.4,43.5,0.0,True,False,False,False,4.3,,183.22,179.11,193.48,205.49,2.5,5.6,2.24,No higher-low structure (recent 181.40 <= prior 181.40) | No higher-low structure (recent 181.40 <= prior 181.40) | No climax bar detected,10.0,65.9
SARDAEN,REV-RS,0,None,,9,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",1,-3.341,1.119,IMPROVING,-0.06,False,0.14,18.74,0.97,55.7,,True,False,False,False,4.3,,519.85,481.45,615.84,639.75,2.5,18.46,7.39,RS slope negative | RS slope negative | No climax bar detected [Also in Screener.in screens — intersection],8.8,64.5
PNB,REV-RS,0,None,,7,3,3,2,5,FULL,110010,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'CR>1': True, 'Profit↑': True, 'OpLev↑': True}",3,4.225,1.827,LEADING,0.38,True,0.95,14.17,0.73,43.8,43.5,True,False,False,False,4.3,,116.0,112.12,125.69,135.15,2.5,8.35,3.34,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,9.5,63.4
BRIGADE,REV-RS,0,None,,8,3,3,1,4,FULL,100110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'D/E<2': True, 'CR>1': True, 'OpLev↑': True}",2,21.288,15.221,LEADING,18.59,True,19.39,14.34,0.41,70.9,19.3,True,False,False,False,4.3,,687.0,600.72,802.01,902.71,1.33,16.74,12.56,"No EARLY breakout in last 5 trading days | RS breakout 3d ago, higher-low intact | No climax bar detected",9.0,63.2
NIACL,REV-RS,0,None,,8,3,3,1,4,FULL,101100,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'Sales↑': True}",2,19.481,12.223,LEADING,17.02,True,26.62,15.41,7.83,59.8,58.0,True,False,False,False,4.3,,205.22,170.61,242.6,291.74,1.08,18.21,16.86,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,9.0,63.2
PCBL,REV-RS,0,None,,10,3,3,3,6,FULL,110100,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'D/E<2': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,8.784,7.122,LEADING,8.38,True,10.15,22.81,3.12,52.4,,True,False,False,False,4.3,,328.8,303.13,392.98,425.95,2.5,19.52,7.81,No higher-low structure (recent 310.70 <= prior 313.60) | No higher-low structure (recent 310.70 <= prior 313.60) | No climax bar detected,8.0,62.7
ETERNAL,REV-RS,0,None,,10,4,4,2,6,FULL,110110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True}",2,16.862,-1.483,WEAKENING,3.11,True,17.19,12.72,0.29,53.0,16.7,True,False,False,False,4.3,,321.6,308.87,353.42,368.45,2.5,9.89,3.96,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,8.0,62.7
CHALET,REV-RS,0,None,,10,5,5,2,7,FULL,111101,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'ROA>5%': True, 'OpLev↑': True, 'Deleverage': True}",2,9.958,9.651,LEADING,11.11,True,8.8,16.11,1.15,70.5,62.1,True,False,False,False,4.3,,897.75,822.31,1070.1,1086.35,2.28,19.2,8.4,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,7.8,61.7
JUBLPHARMA,REV-RS,0,None,,8,5,5,1,6,FULL,111110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True}",3,4.91,15.146,LEADING,17.68,True,3.87,15.79,5.15,83.5,,True,False,False,False,4.3,,997.75,899.21,1184.8,1244.09,1.9,18.75,9.88,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,8.5,60.7
